"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2017","Parengta specialistų kolegijose","Vilniaus apskritis","asmenys","2846"
"2018","Parengta specialistų kolegijose","Vilniaus apskritis","asmenys","2827"
"2019","Parengta specialistų kolegijose","Vilniaus apskritis","asmenys","2731"
"2020","Parengta specialistų kolegijose","Vilniaus apskritis","asmenys","2850"
"2021","Parengta specialistų kolegijose","Vilniaus apskritis","asmenys","2777"
"2017","Parengta specialistų kolegijose","Alytaus apskritis","asmenys","155"
"2018","Parengta specialistų kolegijose","Alytaus apskritis","asmenys","153"
"2019","Parengta specialistų kolegijose","Alytaus apskritis","asmenys","130"
"2020","Parengta specialistų kolegijose","Alytaus apskritis","asmenys","140"
"2021","Parengta specialistų kolegijose","Alytaus apskritis","asmenys","111"
"2017","Parengta specialistų kolegijose","Kauno apskritis","asmenys","2176"
"2018","Parengta specialistų kolegijose","Kauno apskritis","asmenys","2128"
"2019","Parengta specialistų kolegijose","Kauno apskritis","asmenys","2053"
"2020","Parengta specialistų kolegijose","Kauno apskritis","asmenys","2145"
"2021","Parengta specialistų kolegijose","Kauno apskritis","asmenys","2225"
"2017","Parengta specialistų kolegijose","Klaipėdos apskritis","asmenys","1349"
"2018","Parengta specialistų kolegijose","Klaipėdos apskritis","asmenys","1323"
"2019","Parengta specialistų kolegijose","Klaipėdos apskritis","asmenys","1134"
"2020","Parengta specialistų kolegijose","Klaipėdos apskritis","asmenys","1074"
"2021","Parengta specialistų kolegijose","Klaipėdos apskritis","asmenys","1165"
"2017","Parengta specialistų kolegijose","Marijampolės apskritis","asmenys","196"
"2018","Parengta specialistų kolegijose","Marijampolės apskritis","asmenys","196"
"2019","Parengta specialistų kolegijose","Marijampolės apskritis","asmenys","140"
"2020","Parengta specialistų kolegijose","Marijampolės apskritis","asmenys","144"
"2021","Parengta specialistų kolegijose","Marijampolės apskritis","asmenys","112"
"2017","Parengta specialistų kolegijose","Panevėžio apskritis","asmenys","314"
"2018","Parengta specialistų kolegijose","Panevėžio apskritis","asmenys","310"
"2019","Parengta specialistų kolegijose","Panevėžio apskritis","asmenys","263"
"2020","Parengta specialistų kolegijose","Panevėžio apskritis","asmenys","252"
"2021","Parengta specialistų kolegijose","Panevėžio apskritis","asmenys","271"
"2017","Parengta specialistų kolegijose","Šiaulių apskritis","asmenys","772"
"2018","Parengta specialistų kolegijose","Šiaulių apskritis","asmenys","657"
"2019","Parengta specialistų kolegijose","Šiaulių apskritis","asmenys","533"
"2020","Parengta specialistų kolegijose","Šiaulių apskritis","asmenys","450"
"2021","Parengta specialistų kolegijose","Šiaulių apskritis","asmenys","385"
"2017","Parengta specialistų kolegijose","Tauragės apskritis","asmenys","40"
"2018","Parengta specialistų kolegijose","Tauragės apskritis","asmenys","32"
"2019","Parengta specialistų kolegijose","Tauragės apskritis","asmenys","25"
"2020","Parengta specialistų kolegijose","Tauragės apskritis","asmenys","38"
"2021","Parengta specialistų kolegijose","Tauragės apskritis","asmenys","37"
"2017","Parengta specialistų kolegijose","Telšių apskritis","asmenys",
"2018","Parengta specialistų kolegijose","Telšių apskritis","asmenys",
"2019","Parengta specialistų kolegijose","Telšių apskritis","asmenys",
"2020","Parengta specialistų kolegijose","Telšių apskritis","asmenys",
"2021","Parengta specialistų kolegijose","Telšių apskritis","asmenys",
"2017","Parengta specialistų kolegijose","Utenos apskritis","asmenys","464"
"2018","Parengta specialistų kolegijose","Utenos apskritis","asmenys","392"
"2019","Parengta specialistų kolegijose","Utenos apskritis","asmenys","429"
"2020","Parengta specialistų kolegijose","Utenos apskritis","asmenys","381"
"2021","Parengta specialistų kolegijose","Utenos apskritis","asmenys","342"
